Frame #,Angle
0,5.096667
1,4.7125
2,4.562
3,4.334
4,4.588
5,4.534
6,4.958
7,5.348
8,5.67
9,5.918
10,6.256
11,6.41
12,6.438
13,5.834
14,5.46
15,5.04
16,5.764
17,5.7939997
18,6.7679996
19,7.94
20,9.094
21,8.934
22,9.69
23,10.142
24,10.19
25,10.39
26,11.012
27,11.492
28,12.822
29,13.672
30,14.636
31,16.656
32,19.252
33,21.068
34,22.918
35,25.022
36,25.438
37,25.4
38,25.446001
39,25.548
40,25.272
41,25.188
42,24.698
43,23.657999
44,22.742
45,20.768
46,19.364
47,18.08
48,18.366001
49,17.752
50,15.8880005
51,13.616
52,11.536
53,8.030001
54,5.006
55,3.8460002
56,3.014
57,2.482
58,3.1720002
59,3.276
60,4.2000003
61,4.224
62,3.7840002
63,2.776
64,4.016
65,5.428
66,7.806
67,9.77
68,13.232
69,15.984
70,18.562
71,21.336
72,24.06
73,25.196
74,24.942
75,23.944
76,22.057999
77,20.156
78,18.184
79,17.754
80,17.732
81,18.184
82,17.984
83,18.168
84,14.86
85,11.286
86,7.678
87,5.3380003
88,1.91
89,2.034
90,4.086
91,5.802
92,9.04
93,12.296
94,14.86
95,14.8
96,13.436
97,10.804
98,8.462
99,7.092
100,7.068
101,8.488
102,9.62
103,11.164
104,13.96
105,15.92
106,17.662
107,19.210001
108,20.114
109,18.948
110,16.956001
111,14.996
112,13.562
113,11.996
114,11.614
115,12.048
116,12.124
117,12.998
118,12.996
119,9.988
120,7.3259997
121,5.6299996
122,3.5379999
123,3.7940001
124,5.926
125,8.814
126,11.308001
127,13.412
128,14.48
129,14.164
130,12.906
131,11.076
132,8.31
133,6.73
134,7.1280003
135,7.324
136,7.41
137,10.108
138,12.538
139,14.802
140,16.864
141,19.548
142,19.598
143,18.494
144,16.622
145,14.72
146,12.876
147,12.268
148,12.498
149,12.832
150,12.912
151,14.21
152,14.342
153,12.526
154,10.554
155,8.61
156,5.9
157,3.89
158,3.556
159,4.118
160,6.38
161,8.596
162,11.086
163,12.636
164,13.467999
165,12.032
166,10.436
167,7.39
168,5.604
169,5.478
170,6.702
171,6.612
172,10.2
173,13.118
174,14.59
175,15.976
176,18.64
177,18.65
178,18.366
179,18.182
180,17.308
181,16.416
182,15.732
183,14.988
184,13.894
185,13.41
186,12.57
187,11.694
188,11.49
189,11.2560005
190,10.788
191,10.386
192,8.962
193,7.6800003
194,6.6540003
195,6.01
196,4.458
197,3.784
198,3.88
199,5.324
200,6.2000003
201,8.45
202,9.196
203,7.936
204,5.766
205,3.968
206,2.814
207,2.326
208,2.726
209,4.016
210,6.238
211,8.104
212,11.38
213,14.104
214,15.940001
215,16.592001
216,16.308
217,15.532
218,15.118
219,14.438
220,14.408
221,14.318
222,13.448
223,12.656
224,12.1925
225,10.97
