Frame #,Angle
0,2.4
1,2.265
2,2.282
3,2.258
4,2.5939999
5,2.934
6,3.288
7,3.184
8,3.536
9,3.574
10,3.712
11,3.908
12,4.18
13,4.21
14,4.234
15,4.202
16,4.204
17,4.18
18,4.182
19,3.952
20,3.776
21,3.462
22,3.678
23,3.596
24,4.186
25,4.33
26,4.578
27,4.606
28,5.074
29,5.464
30,6.6540003
31,9.042
32,12.502
33,16.718
34,21.29
35,26.421999
36,30.894
37,34.366
38,36.888
39,38.596
40,39.676
41,39.886
42,39.762
43,39.618
44,38.878002
45,36.994
46,34.284
47,30.87
48,26.454
49,20.014
50,15.042
51,12.308
52,12.782
53,15.3
54,21.952
55,28.566
56,34.332
57,38.372
58,41.02
59,33.966
60,33.852
61,32.702
62,31.266
63,29.102001
64,33.682
65,27.716
66,21.018
67,14.54
68,11.304
69,11.504
70,16.268
71,24.02
72,32.288
73,38.871998
74,44.214
75,47.848
76,50.22
77,50.526
78,49.192
79,46.184002
80,41.818
81,36.788002
82,30.936
83,24.314001
84,22.116001
85,21.392
86,21.146
87,22.822
88,27.422
89,29.776001
90,32.496
91,36.146
92,39.55
93,40.114
94,34.972
95,34.684002
96,32.752
97,30.538
98,28.738
99,29.678
100,23.996
101,17.31
102,12.86
103,11.29
104,13.224
105,17.912
106,25.58
107,32.184
108,37.308
109,40.936
110,43.214
111,43.822002
112,43.194
113,41.828
114,39.578
115,35.942
116,31.174
117,25.674
118,18.86
119,13.402
120,11.472
121,12.292
122,15.88
123,22.526
124,29.23
125,33.724
126,36.754
127,38.22
128,38.184
129,37.194
130,35.902
131,34.126
132,31.671999
133,27.821999
134,23.552
135,17.176
136,12.396
137,10.088
138,11.252
139,14.358
140,21.114
141,28.046001
142,33.154
143,36.932
144,39.29
145,40.334
146,39.808002
147,38.886
148,37.092
149,34.818
150,31.244001
151,27.346
152,22.368
153,16.608
154,11.922
155,10.43
156,11.03
157,14.464
158,20.262
159,26.064
160,30.155998
161,33.246
162,35.118
163,35.43
164,35.356
165,34.74
166,33.668
167,31.748
168,29.198
169,25.82
170,21.258
171,15.4800005
172,16.126
173,17.856
174,20.3
175,24.424
176,31.212
177,33.197998
178,35.668
179,38.01
180,40.162
181,40.82
182,40.906
183,40.144
184,38.892
185,37.079998
186,34.961998
187,31.924
188,28.402
189,24.382
190,18.952
191,13.62
192,10.332
193,9.2
194,10.214
195,14.798
196,20.74
197,25.426
198,28.794
199,30.85
200,31.172
201,30.442
202,29.732
203,28.334
204,26.496
205,25.064001
206,22.978
207,18.984001
208,14.436
209,11.178
210,8.926
211,9.104
212,12.271999
213,17.454
214,23.276
215,28.524
216,32.774
217,36.12
218,38.876
219,40.252
220,41.158
221,41.022
222,40.592
223,39.989998
224,39.6875
225,39.11
