Frame #,Angle
0,11.18
1,11.5075
2,11.572
3,11.796
4,11.738
5,12.004
6,11.77
7,11.634
8,11.552
9,11.276
10,10.8359995
11,10.646
12,10.442
13,10.144
14,9.958
15,9.754
16,9.898
17,10.336
18,10.516
19,10.734
20,11.564
21,11.544
22,11.206
23,11.1
24,10.922
25,11.002
26,10.936
27,10.792
28,10.738
29,10.908
30,10.492
31,10.982
32,11.246
33,11.808
34,12.486
35,13.312
36,13.876
37,14.432
38,14.25
39,14.1380005
40,13.924
41,13.272
42,13.206
43,13.966
44,13.086
45,12.158
46,11.29
47,10.238
48,8.404
49,7.7999997
50,7.688
51,7.994
52,8.948
53,10.757999
54,14.3359995
55,20.078
56,27.212
57,35.886
58,44.554
59,51.03
60,52.13
61,49.146
62,46.288002
63,42.1
64,36.926
65,32.804
66,29.64
67,22.804
68,15.538
69,10.486
70,6.578
71,4.598
72,4.98
73,8.12
74,10.896
75,14.922
76,19.76
77,22.948
78,25.008
79,24.946
80,22.368
81,18.598
82,14.944
83,11.168
84,10.074
85,10.86
86,11.5859995
87,12.823999
88,14.146
89,16.392
90,21.806
91,29.558
92,39.186
93,48.614
94,54.394
95,55.388
96,55.188
97,51.316
98,45.204002
99,38.934
100,32.324
101,23.21
102,15.248
103,9.118
104,5.3
105,4.364
106,5.286
107,8.176001
108,12.732
109,17.178
110,21.276001
111,23.072
112,24.238
113,21.896
114,18.936
115,14.2699995
116,12.408
117,9.642
118,9.4939995
119,9.512
120,10.776
121,11.938
122,15.164
123,21.15
124,30.252
125,39.512
126,48.378002
127,54.532
128,58.338
129,56.932
130,55.242
131,49.836
132,43.208
133,33.424
134,24.336
135,14.87
136,8.278
137,4.364
138,2.482
139,2.692
140,3.756
141,6.552
142,9.334
143,12.391999
144,15.438
145,18.0
146,19.278
147,19.058
148,18.51
149,17.802
150,15.400001
151,12.912
152,11.958
153,10.596
154,9.284
155,10.668
156,12.88
157,17.74
158,27.278
159,38.312
160,48.612
161,56.646
162,61.668
163,58.672
164,55.568
165,49.666
166,43.284
167,33.908
168,26.55
169,16.806
170,9.774
171,4.486
172,5.124
173,7.802
174,11.004
175,14.042
176,17.334
177,17.618
178,18.594
179,19.657999
180,19.614
181,18.742
182,16.654
183,13.874
184,11.328
185,9.954
186,9.45
187,10.93
188,12.632
189,15.797999
190,21.638
191,29.408
192,37.676
193,48.002
194,55.402
195,60.046
196,61.7
197,60.03
198,53.964
199,46.34
200,36.394
201,24.852
202,15.204
203,7.9100003
204,3.374
205,1.498
206,2.282
207,5.226
208,9.257999
209,12.452
210,16.604
211,19.897999
212,20.652
213,20.59
214,20.99
215,18.978
216,17.114
217,15.104
218,12.774
219,11.368
220,11.474
221,12.554
222,14.904
223,17.886
224,22.515999
225,29.27
226,37.53
227,44.432
228,50.938
229,54.362
230,54.492
231,52.508
232,50.454
233,45.838
234,38.9
235,30.140001
236,20.552
237,12.968
238,6.7200003
239,3.1859999
240,2.7879999
241,4.968
242,6.19
243,8.902
244,13.246
245,17.242
246,18.614
247,19.996
248,20.512001
249,19.046
250,16.982
251,15.096
252,13.248
253,12.634
254,12.346
255,12.632
256,14.5
257,17.024
258,20.354
259,25.706
260,33.378
261,40.357998
262,46.256
263,50.289997
264,54.497997
265,55.452
266,55.87
267,53.804
268,50.357998
269,43.031998
270,34.318
271,24.77
272,17.306
273,11.652
274,8.056
275,7.268
276,8.2300005
277,11.312
278,14.406
279,18.59
280,21.97
281,23.888
282,23.9
283,22.074
284,19.618
285,16.902
286,15.236
287,13.878
288,13.332
289,13.064
290,13.756
291,14.592
292,16.674
293,21.86
294,29.032
295,37.722
296,46.794
297,56.548
298,62.606
299,62.506
300,62.834
301,58.697998
302,51.392
303,43.368
304,36.94
305,26.404
306,19.838
307,15.6875
308,11.926667
