Frame #,Angle
0,9.723333
1,9.325
2,9.566
3,9.665999
4,9.212
5,9.416
6,9.432
7,8.926
8,9.098001
9,9.56
10,9.808001
11,9.722
12,10.058001
13,10.188
14,9.97
15,9.284
16,9.666
17,9.914
18,9.874
19,9.4539995
20,9.708
21,9.47
22,9.286
23,8.984
24,9.02
25,8.856
26,8.6779995
27,8.644
28,8.894
29,9.382
30,9.528
31,9.496
32,10.064
33,11.094
34,12.286
35,13.738
36,15.038
37,16.062
38,17.804
39,19.060001
40,22.498001
41,24.936
42,26.7
43,27.09
44,26.114
45,21.147999
46,18.902
47,14.837999
48,11.184
49,8.482
50,8.272
51,7.716
52,8.248
53,9.724
54,12.598
55,14.896
56,15.616
57,16.6
58,17.074
59,17.522
60,20.442001
61,25.992
62,26.784
63,24.016
64,21.342001
65,16.718
66,10.38
67,7.772
68,8.676
69,9.158
70,9.8
71,10.166
72,13.31
73,18.614
74,25.897999
75,30.976
76,38.474
77,45.112
78,47.486
79,44.832
80,43.642
81,39.806
82,32.88
83,26.102
84,20.406
85,14.808
86,9.496
87,6.756
88,7.024
89,8.93
90,11.358
91,14.224
92,16.322
93,18.188
94,19.644001
95,24.198
96,25.656
97,25.366
98,23.34
99,21.286
100,15.422
101,12.082
102,11.698
103,11.048
104,11.452
105,13.172
106,17.352
107,21.764
108,28.265999
109,34.794
110,40.664
111,41.196
112,39.202
113,35.842
114,32.982
115,28.616
116,25.64
117,23.07
118,18.622
119,13.58
120,10.283999
121,9.488
122,10.088
123,11.982
124,15.014
125,16.814
126,18.832
127,20.302
128,24.414
129,23.166
130,21.854
131,18.94
132,16.26
133,11.558
134,10.262
135,9.658
136,10.124001
137,10.954
138,12.402
139,14.412
140,19.1
141,23.786
142,29.675999
143,35.172
144,40.697998
145,42.434
146,40.371998
147,34.382
148,29.156
149,23.504
150,18.842
151,14.986
152,14.044
153,11.58
154,9.676
155,6.8919997
156,7.782
157,9.476
158,12.69
159,15.0460005
160,18.502
161,22.822
162,26.882
163,29.848
164,29.002
165,27.958
166,23.712
167,17.984
168,13.628
169,13.702
170,12.414
171,13.88
172,21.78
173,28.236
174,34.222
175,41.566
176,48.182
177,48.35
178,49.43
179,45.576
180,39.856
181,36.274002
182,31.318
183,24.598
184,20.289999
185,17.174
186,11.863999
187,7.238
188,5.034
189,6.068
190,8.892
191,10.474
192,13.69
193,17.862
194,21.528
195,24.914
196,30.178
197,29.462
198,25.832
199,21.822
200,16.576
201,9.948
202,9.468
203,9.016
204,9.88
205,11.49
206,15.05
207,18.92
208,25.588
209,31.736
210,38.402
211,43.172
212,46.028
213,44.672
214,39.142
215,33.166
216,26.912
217,20.788
218,14.676
219,11.434
220,8.118
221,4.658
222,2.384
223,2.1599998
224,3.672
225,5.292
226,9.076
227,12.456
228,18.32
229,24.814
230,30.732
231,29.984
232,28.428
233,24.324
234,18.7
235,12.592
236,11.546
237,11.6779995
238,11.736
239,12.318
240,13.504
241,17.006
242,21.87
243,26.94
244,32.392
245,38.464
246,41.984
247,42.258
248,40.218
249,36.186
250,30.712
251,25.044
252,19.348
253,14.416
254,10.142
255,7.226
256,5.2
257,5.4960003
258,8.0060005
259,10.45
260,16.346
261,21.46
262,26.137999
263,29.796
264,34.469997
265,33.461998
266,28.632
267,23.576
268,19.39
269,13.94
270,9.696
271,8.722
272,8.308
273,6.95
274,6.63
275,9.246
276,13.534
277,18.742
278,26.946001
279,35.368
280,41.29
281,47.006
282,47.386
283,45.076
284,41.39
285,36.068
286,28.57
287,23.242
288,16.630001
289,10.588
290,5.882
291,4.342
292,5.802
293,9.032001
294,12.626
295,16.584
296,19.078
297,22.822
298,26.086
299,29.991999
300,33.748
301,31.498
302,27.122
303,22.354
304,16.29
305,9.656
306,8.588
307,7.7675
308,6.6566663
