Frame #,Angle
0,15.226666
1,14.5
2,14.652
3,14.318
4,15.09
5,16.928
6,16.31
7,16.376
8,16.51
9,13.902
10,10.592
11,10.854
12,9.302
13,8.124
14,7.9839997
15,8.29
16,8.686
17,11.182
18,14.07
19,16.702
20,18.196001
21,17.06
22,16.378
23,16.83
24,15.6380005
25,15.982
26,18.134
27,18.274
28,19.98
29,23.138
30,25.688
31,28.630001
32,31.966
33,31.884
34,32.356
35,32.776
36,31.897999
37,29.956
38,26.99
39,23.924
40,20.156
41,16.862
42,14.32
43,13.783999
44,13.432
45,13.838
46,14.538
47,13.482
48,12.482
49,10.852
50,8.984
51,7.824
52,7.658
53,6.946
54,6.424
55,6.468
56,7.95
57,12.004
58,16.122
59,19.484
60,19.07
61,16.948
62,14.402
63,13.162
64,12.28
65,15.542
66,20.198
67,23.782
68,26.8
69,31.358
70,34.046
71,35.272
72,35.624
73,33.598
74,30.47
75,27.074001
76,23.26
77,19.082
78,16.706001
79,13.68
80,11.204
81,10.292
82,11.562
83,11.742
84,11.408
85,11.802
86,10.93
87,8.717999
88,7.898
89,7.922
90,7.626
91,7.442
92,7.446
93,10.314
94,13.962
95,18.062
96,20.56
97,21.528
98,19.45
99,18.458
100,17.268
101,18.16
102,20.708
103,23.318
104,25.238
105,27.942
106,30.694
107,33.154
108,34.48
109,34.406
110,33.308
111,30.298
112,27.056
113,22.798
114,19.02
115,15.884
116,14.5859995
117,13.47
118,12.863999
119,13.282
120,13.976
121,14.363999
122,13.45
123,13.3
124,11.903999
125,10.176
126,7.514
127,7.1679997
128,6.718
129,7.264
130,7.36
131,8.696
132,11.376
133,15.174
134,18.564
135,21.36
136,22.17
137,19.015999
138,18.668
139,17.51
140,18.952
141,21.036
142,25.188
143,27.038
144,29.428
145,30.924
146,33.728
147,35.764
148,36.002
149,35.996
150,34.129997
151,31.807999
152,29.378
153,27.348
154,25.852
155,25.714
156,24.494
157,23.716
158,23.68
159,23.39
