Frame #,Angle
0,20.263334
1,19.005001
2,18.968
3,17.452
4,17.698
5,17.706
6,17.605999
7,17.874
8,17.51
9,17.562
10,18.136
11,19.638
12,19.602
13,20.682
14,21.289999
15,20.504
16,19.778
17,19.584
18,19.09
19,17.902
20,18.51
21,18.85
22,18.49
23,18.144
24,18.508
25,17.772
26,16.846
27,16.960001
28,16.996
29,17.918
30,19.152
31,19.278
32,18.4
33,18.539999
34,16.764
35,16.486
36,15.952
37,15.338
38,12.8880005
39,11.264
40,8.564
41,6.5239997
42,5.896
43,7.568
44,10.576
45,14.246
46,18.056
47,21.398
48,23.374
49,23.948
50,23.421999
51,23.314
52,21.934
53,19.366
54,17.532
55,15.06
56,12.26
57,10.052
58,9.152
59,10.084001
60,11.0
61,11.860001
62,11.284
63,11.01
64,7.392
65,3.794
66,0.12599997
67,-2.39
68,-5.244
69,-6.2840004
70,-6.256
71,-4.492
72,-0.904
73,4.412
74,10.1119995
75,14.944
76,17.184
77,18.038
78,15.558
79,12.842
80,12.9140005
81,14.39
82,14.642
83,18.184
84,22.3
85,24.062
86,25.966
87,29.34
88,30.066
89,29.28
90,27.072
91,23.838
92,20.542
93,18.448
94,14.468
95,12.52
96,13.026
97,14.202001
98,13.938
99,12.768
100,12.094
101,9.018
102,5.154
103,2.2879999
104,1.622
105,-1.498
106,-2.688
107,-2.73
108,-0.8959999
109,3.434
110,10.786
111,17.548
112,21.846
113,22.494
114,20.206
115,15.846
116,14.564
117,13.696
118,14.37
119,17.736
120,23.016
121,25.308
122,28.824
123,32.348
124,33.806
125,32.878002
126,30.83
127,28.058
128,25.43
129,24.308
130,21.884
131,18.134
132,15.934
133,15.912001
134,15.334
135,14.624001
136,14.066
137,12.378
138,7.7
139,2.482
140,-0.37399998
141,-1.696
142,-2.396
143,-1.8820001
144,-2.234
145,-0.606
146,4.5699997
147,9.33
148,13.118
149,18.244
150,20.412
151,17.3
152,15.43
153,14.248
154,13.568
155,14.202
156,18.744
157,23.048
158,27.458
159,31.147999
160,33.868
161,34.384
162,33.146
163,31.028
164,27.734
165,24.076
166,21.029999
167,18.198
168,13.986
169,13.708
170,14.674
171,14.694
172,11.826
173,11.078
174,7.336
175,3.29
176,0.564
177,0.27
178,0.684
179,1.534
180,1.368
181,1.074
182,3.052
183,4.752
184,6.554
185,10.481999
186,13.788
187,14.2439995
188,14.156
189,13.014
190,13.042
191,11.904
192,13.274
193,17.652
194,20.2
195,20.646667
