Frame #,Angle
0,2.55
1,2.445
2,2.432
3,2.568
4,2.168
5,1.978
6,1.936
7,1.944
8,1.9760001
9,2.362
10,2.838
11,3.134
12,3.124
13,3.1
14,3.066
15,2.932
16,2.858
17,2.76
18,2.556
19,2.346
20,2.198
21,2.008
22,2.086
23,2.112
24,1.992
25,1.984
26,1.946
27,1.87
28,1.876
29,2.204
30,2.464
31,2.432
32,2.284
33,2.088
34,1.828
35,1.548
36,1.804
37,1.852
38,2.008
39,1.968
40,2.21
41,1.864
42,2.072
43,1.902
44,1.632
45,1.14
46,1.068
47,0.806
48,0.982
49,2.31
50,3.6820002
51,5.574
52,7.892
53,10.128
54,11.978
55,13.568
56,14.676
57,15.822
58,16.93
59,17.574001
60,18.436
61,19.178
62,18.464
63,17.454
64,15.478
65,13.554
66,11.302
67,10.032
68,10.158
69,9.674
70,9.156
71,8.782
72,7.908
73,5.486
74,4.428
75,3.194
76,3.042
77,4.09
78,4.93
79,6.968
80,8.794
81,10.684
82,12.372
83,14.902
84,13.066
85,11.516
86,9.032
87,6.02
88,2.842
89,3.12
90,3.094
91,3.718
92,5.192
93,6.804
94,7.816
95,10.28
96,12.476
97,14.612
98,16.454
99,18.67
100,19.28
101,19.55
102,19.13
103,18.014
104,16.608
105,15.71
106,13.814
107,11.078
108,9.048
109,7.11
110,5.206
111,3.868
112,3.508
113,3.688
114,4.414
115,5.9760003
116,8.55
117,11.026
118,13.278
119,16.426
120,18.652
121,19.874
122,19.800001
123,18.004
124,14.33
125,11.246
126,8.482
127,6.232
128,6.68
129,8.266
130,9.236
131,9.61
132,11.0460005
133,12.168
134,12.88
135,13.676
136,15.036
137,16.102
138,16.082
139,15.12
140,13.72
141,11.948
142,9.738
143,7.428
144,5.308
145,3.934
146,2.766
147,1.894
148,1.418
149,2.566
150,4.3519998
151,6.238
152,8.309999
153,10.6
154,13.244
155,15.37
156,18.176
157,19.594
158,19.96
159,17.854
160,14.546
161,9.814
162,6.92
163,5.084
164,4.654
165,5.41
166,7.082
167,8.01
168,9.264
169,10.6380005
170,11.484
171,13.058
172,13.718
173,13.714
174,13.356
175,13.058001
176,11.634001
177,10.93
178,10.154
179,9.07
180,6.88
181,5.156
182,3.808
183,2.22
184,0.952
185,1.2
186,1.416
187,1.958
188,3.9659998
189,5.994
190,7.4399996
191,9.776
192,12.386
193,13.658
194,14.4725
195,16.116667
