Frame #,Angle
0,-2.1310954
1,-2.1986716
2,-2.2969837
3,-2.4780705
4,-2.6371706
5,-2.5416691
6,-2.4549406
7,-2.4416733
8,-2.4046407
9,-2.4227557
10,-2.5884838
11,-2.7467897
12,-2.8078697
13,-2.7105975
14,-2.5970714
15,-2.650083
16,-2.7726865
17,-2.8423762
18,-3.054923
19,-3.1384943
20,-3.1322434
21,-2.9076247
22,-2.6629655
23,-2.4286027
24,-2.4709446
25,-2.4086616
26,-2.5228121
27,-2.6759152
28,-2.8089337
29,-2.8982267
30,-3.0185323
31,-3.0413945
32,-3.08099
33,-3.1124177
34,-3.0840669
35,-3.0161746
36,-3.1266294
37,-3.0788248
38,-3.056445
39,-2.9907618
40,-2.9826741
41,-2.9749846
42,-2.9724793
43,-2.885811
44,-2.8966913
45,-2.795467
46,-2.655783
47,-2.5353703
48,-2.6518822
49,-2.5989065
50,-2.549746
51,-2.3451135
52,-2.164685
53,-2.006716
54,-1.8809431
55,-1.8642993
56,-1.8904377
57,-1.8864404
58,-1.5134969
59,-1.1375055
60,-0.69841474
61,-0.27789125
62,-0.11548193
63,-0.19615936
64,-0.666412
65,-1.0789278
66,-1.5100111
67,-1.9318345
68,-2.0761034
69,-2.0318117
70,-2.251593
71,-2.316025
72,-2.3488886
73,-2.536092
74,-2.8108802
75,-2.761675
76,-2.9151866
77,-3.1030161
78,-3.043969
79,-2.860516
80,-2.6794095
81,-2.649339
82,-2.3059502
83,-2.2618408
84,-1.9629894
85,-1.819228
86,-1.4909286
87,-1.347346
88,-1.282634
89,-1.546825
90,-1.8639243
91,-2.3907228
92,-2.7811646
93,-3.085089
94,-3.203815
95,-3.0929327
96,-2.685453
97,-2.3599455
98,-2.0031438
99,-1.5851905
100,-1.6683333
101,-1.7257427
102,-1.8699664
103,-2.0669234
104,-2.3168426
105,-2.3215349
106,-2.337147
107,-2.3900523
108,-2.389475
109,-2.532878
110,-2.29234
111,-2.274038
112,-2.1691997
113,-2.0030339
114,-1.8008
115,-1.9772191
116,-1.7688025
117,-1.462573
118,-1.3488382
119,-1.3561559
120,-1.163932
121,-1.1075162
122,-1.1770456
123,-1.3175274
124,-1.008609
125,-0.8842268
126,-1.0108823
127,-1.3436024
128,-1.604591
129,-2.0523005
130,-2.5245452
131,-2.974458
132,-3.2206845
133,-3.0098302
134,-2.8050203
135,-2.4912722
136,-2.1178012
137,-1.7034833
138,-1.7560395
139,-1.7788327
140,-1.9530795
141,-2.238164
142,-2.6031191
143,-2.795163
144,-2.9675698
145,-2.7942474
146,-2.3678937
147,-2.197948
148,-1.94596
149,-1.8293271
150,-1.9625357
151,-1.9624822
152,-1.5427146
153,-1.3545502
154,-1.1075925
155,-0.73875386
156,-0.55583304
157,-0.3433826
158,-0.1376433
159,0.02095904
160,0.19349816
161,0.05014351
162,-0.33992144
163,-0.55061483
164,-0.9266565
165,-1.4540436
166,-1.6418751
167,-1.7526594
168,-2.117838
169,-2.125585
170,-2.073241
171,-1.823798
172,-1.9995111
173,-2.0204635
174,-2.1908247
175,-2.3757102
176,-2.8620076
177,-2.8704286
178,-2.7359037
179,-2.7519956
180,-2.7235265
181,-2.4581885
182,-2.1247566
183,-2.0576053
184,-2.101231
185,-2.0427015
186,-2.0140219
187,-2.0083294
188,-1.8258643
189,-1.4080489
190,-0.73002154
191,-0.53799385
192,-0.5738884
193,-0.5705281
194,-0.4531783
195,-0.9358092
