Frame #,Angle
0,4.7333336
1,5.005
2,5.05
3,5.158
4,5.0820003
5,5.176
6,5.024
7,4.914
8,4.994
9,5.078
10,4.966
11,5.002
12,5.32
13,5.246
14,5.364
15,5.334
16,5.15
17,4.918
18,4.844
19,4.644
20,4.78
21,4.928
22,4.698
23,4.648
24,4.796
25,4.616
26,4.448
27,4.486
28,4.462
29,4.39
30,4.572
31,4.57
32,4.968
33,5.254
34,5.274
35,5.176
36,5.864
37,5.99
38,6.16
39,6.164
40,5.808
41,5.118
42,4.026
43,2.984
44,2.21
45,1.926
46,2.126
47,3.11
48,4.904
49,7.5759997
50,10.306
51,12.884
52,15.386
53,17.594
54,18.842
55,20.284
56,20.606
57,20.84
58,20.434
59,19.974
60,19.648
61,19.63
62,19.894
63,20.698
64,20.366
65,18.39
66,17.088
67,14.866
68,11.492
69,9.57
70,8.892
71,7.788
72,8.16
73,8.228
74,7.586
75,6.058
76,4.868
77,2.69
78,2.28
79,2.124
80,3.274
81,4.67
82,5.9319997
83,6.144
84,6.554
85,6.41
86,5.722
87,5.276
88,5.196
89,6.2660003
90,8.214
91,7.796
92,10.71
93,15.254
94,18.426
95,20.742
96,25.458
97,27.142
98,27.124
99,27.294
100,27.304
101,27.0
102,25.37
103,22.954
104,20.31
105,17.174
106,13.598001
107,10.786
108,8.932
109,6.87
110,5.37
111,4.8259997
112,3.7319999
113,2.8339999
114,3.354
115,4.834
116,6.208
117,8.81
118,10.962
119,12.686
120,13.784
121,13.956
122,13.498
123,12.414
124,10.228
125,7.342
126,4.936
127,3.496
128,4.318
129,8.158
130,13.726
131,19.742
132,25.694
133,29.998
134,31.71
135,32.078
136,32.824
137,32.418
138,31.662
139,30.84
140,29.38
141,26.836
142,23.888
143,19.85
144,16.156
145,12.67
146,9.366
147,6.982
148,5.708
149,4.136
150,3.662
151,4.49
152,4.8199997
153,5.988
154,8.252
155,10.402
156,12.424
157,14.771999
158,16.394
159,16.546
160,15.4279995
161,12.38
162,9.098001
163,5.942
164,4.594
165,5.284
166,8.998
167,14.696
168,21.223999
169,26.336
170,29.944
171,30.938
172,28.807999
173,26.08
174,23.616
175,21.383999
176,20.102
177,20.112
178,19.576
179,18.355999
180,17.084
181,14.757999
182,12.524
183,10.122
184,8.568
185,6.782
186,5.758
187,4.486
188,3.744
189,2.988
190,2.886
191,3.2480001
192,4.17
193,6.182
194,8.158
195,10.148
196,11.894
197,13.774
198,14.926
199,14.748
200,14.059999
201,11.9
202,9.106
203,6.284
204,4.538
205,2.48
206,3.882
207,7.066
208,10.846001
209,15.176001
210,19.588001
211,22.482
212,24.154
213,25.442
214,26.168001
215,26.896
216,26.156
217,24.81
218,23.774
219,21.948
220,20.604
221,18.704
222,16.422
223,12.76
224,10.06
225,6.386
226,4.2400002
227,2.69
228,2.422
229,2.356
230,3.606
231,5.512
232,6.846
233,8.916
234,10.932
235,12.658
236,13.928
237,16.072
238,16.446
239,17.304
240,17.982
241,18.135
242,18.103334
