Frame #,Angle
0,1.4340059
1,1.4368248
2,1.4403964
3,1.4472971
4,1.4555925
5,1.4647278
6,1.4733728
7,1.4805585
8,1.4856564
9,1.4888302
10,1.491192
11,1.4948121
12,1.5024475
13,1.5170437
14,1.5411108
15,1.5761518
16,1.6223018
17,1.678276
18,1.7416396
19,1.8093039
20,1.8780707
21,1.945064
22,2.0079505
23,2.064951
24,2.114748
25,2.156483
26,2.1900215
27,2.216603
28,2.239893
29,2.2673428
30,2.3116567
31,2.3920925
32,2.5352848
33,2.775259
34,3.1523209
35,3.7105837
36,4.494075
37,5.541603
38,6.8808904
39,8.52279
40,10.456581
41,12.64735
42,15.036152
43,17.543226
44,20.07389
45,22.52622
46,24.799263
47,26.800577
48,28.452103
49,29.69402
50,30.486845
51,30.81245
52,30.674915
53,30.101828
54,29.146078
55,27.887373
56,26.432098
57,24.909897
58,23.465727
59,22.247131
60,21.387829
61,20.99008
62,21.109104
63,21.742836
64,22.829449
65,24.253487
66,25.859678
67,27.472025
68,28.915064
69,30.034222
70,30.712914
71,30.88497
72,30.5418
73,29.734015
74,28.567362
75,27.192745
76,25.79042
77,24.549099
78,23.64196
79,23.202698
80,23.305489
81,23.952694
82,25.07293
83,26.530231
84,28.142813
85,29.708204
86,31.03053
87,31.945818
88,32.342068
89,32.172123
90,31.458467
91,30.289946
92,28.810932
93,27.20383
94,25.666386
95,24.386034
96,23.51452
97,23.14654
98,23.30609
99,23.943287
100,24.942587
101,26.141096
102,27.353796
103,28.401249
104,29.1353
105,29.459015
106,29.338585
107,28.806396
108,27.955563
109,26.92704
110,25.890886
111,25.0236
112,24.483913
113,24.389986
114,24.801178
115,25.707417
116,27.028248
117,28.622162
118,30.305
119,31.874556
120,33.137646
121,33.935646
122,34.16512
123,33.791115
124,32.851864
125,31.454506
126,29.762203
127,27.973904
128,26.298738
129,24.928057
130,24.008915
131,23.623219
132,23.776192
133,24.396536
134,25.348576
135,26.454325
136,27.521664
137,28.373816
138,28.875397
139,28.951406
140,28.596937
141,27.876938
142,26.916538
143,25.88335
144,24.963879
145,24.336695
146,24.14579
147,24.477837
148,25.346972
149,26.689985
150,28.373169
151,30.210045
152,31.98725
153,33.49437
154,34.553116
155,35.041477
156,34.909763
157,34.186775
158,32.97564
159,31.43998
160,29.782158
161,28.215992
162,26.937311
163,26.096344
164,25.776167
165,25.9809
166,26.63598
167,27.600767
168,28.69133
169,29.709284
170,30.47146
171,30.835264
172,30.715673
173,30.091755
174,29.002666
175,27.53479
176,25.80293
177,23.929255
178,22.023666
179,20.168844
180,18.41235
181,16.766928
182,15.218147
183,13.737092
184,12.2946415
185,10.873516
186,9.474943
187,8.118823
188,6.8380957
189,5.6696424
190,4.6448355
191,3.7827098
192,3.0871592
193,2.5481856
194,2.146042
195,1.856478
196,1.6553006
197,1.5213468
198,1.437669
199,1.3913001
200,1.3722403
201,1.3723451
202,1.38445
203,1.4018692
204,1.4182724
205,1.4278942
206,1.425962
207,1.4092817
208,1.3768777
209,1.3304921
210,1.274724
211,1.2166737
212,1.1650187
213,1.1286085
214,1.1148545
215,1.1282932
216,1.1696724
217,1.2358575
218,1.3206854
219,1.4167097
220,1.5176157
221,1.6209942
222,1.7310673
223,1.8609691
224,2.0341592
225,2.284582
226,2.655256
227,3.195152
228,3.9543924
229,4.9781375
230,6.299805
231,7.934537
232,9.873957
233,12.083252
234,14.501326
235,17.04432
236,19.612215
237,22.097517
238,24.394587
239,26.408009
240,28.058613
241,29.286451
242,30.050999
243,30.329653
244,30.116127
245,29.420206
246,28.26956
247,26.713089
248,24.824175
249,22.701487
250,20.46518
251,18.247423
252,16.178032
253,14.367736
254,12.892981
255,11.786442
256,11.036317
257,10.595299
258,10.397568
259,10.379772
260,10.5005665
261,10.753464
262,11.169441
263,11.808377
264,12.741426
265,14.028915
266,15.699534
267,17.736069
268,20.071056
269,22.592997
270,25.160892
271,27.622953
272,29.834753
273,31.67301
274,33.043087
275,33.88065
276,34.149666
277,33.83965
278,32.96452
279,31.563938
280,29.706064
281,27.489399
282,25.040806
283,22.50768
284,20.044014
285,17.792273
286,15.864845
287,14.329606
288,13.203675
289,12.457543
290,12.029111
291,11.844488
292,11.840444
293,11.982698
294,12.2752
295,12.757887
296,13.493476
297,14.546713
298,15.961596
299,17.742533
300,19.844053
301,22.17127
302,24.59034
303,26.945637
304,29.079119
305,30.847618
306,32.135323
307,32.86069
308,32.978977
309,32.4823
310,31.39908
311,29.793495
312,27.764204
313,25.44069
314,22.975346
315,20.530523
316,18.261206
317,16.295994
318,14.720229
319,13.565449
320,12.808381
321,12.380729
322,12.188263
323,12.135354
324,12.149405
325,12.199244
326,12.30282
327,12.5221
328,12.94627
329,13.667224
330,14.753454
331,16.228716
332,18.060362
333,20.159578
334,22.392693
335,24.599997
336,26.617178
337,28.294846
338,29.513086
339,30.19022
340,30.286736
341,29.80628
342,28.795252
343,27.341267
344,25.569391
345,23.634233
346,21.706465
347,19.95382
348,18.518892
349,17.49805
350,16.926624
351,16.774765
352,16.956123
353,17.348269
