Frame #,Angle
0,0.21179703
1,0.1689786
2,0.1941648
3,0.13932844
4,0.10125548
5,-0.049176823
6,-0.031242458
7,0.015053727
8,0.09729638
9,0.08752645
10,0.30227315
11,0.2759199
12,0.2545636
13,0.31350064
14,0.37268296
15,0.33633858
16,0.3719376
17,0.29049742
18,0.103060335
19,0.056712937
20,-0.21213019
21,-0.3476156
22,-0.29257092
23,-0.2208144
24,-0.20722996
25,0.010351231
26,0.20622185
27,0.25705442
28,0.35211515
29,0.4058537
30,0.46510297
31,0.4448416
32,0.26921555
33,-0.035722923
34,-0.17988715
35,-0.328038
36,-0.61120594
37,-0.8158225
38,-0.805866
39,-1.0052232
40,-0.8629015
41,-0.68298304
42,-0.30692348
43,-0.22075315
44,-0.1428289
45,-0.35325563
46,-0.45358792
47,-0.6075778
48,-0.39899078
49,0.005188304
50,0.32814148
51,0.66082925
52,0.95239604
53,1.0608287
54,0.9895075
55,1.0459024
56,0.9404565
57,0.78987193
58,0.5561441
59,0.36806938
60,0.30975908
61,0.35175312
62,0.88900954
63,1.7763901
64,2.4253318
65,2.671322
66,3.2425067
67,3.3075562
68,2.9014983
69,3.0449905
70,3.5152545
71,3.583494
72,4.0443645
73,4.229808
74,3.9560826
75,3.216821
76,2.3427207
77,1.2730817
78,0.6743006
79,0.35835263
80,0.19170472
81,0.25418228
82,0.3016894
83,0.3195205
84,0.6810159
85,1.2202061
86,1.7765793
87,2.1696038
88,2.429635
89,2.2485142
90,2.059691
91,1.731283
92,1.4855638
93,1.7061827
94,1.803637
95,1.9905252
96,2.2115736
97,2.5008714
98,2.4947577
99,2.5659199
100,2.5437765
101,2.5412977
102,2.177968
103,1.7454671
104,1.3268319
105,0.95323074
106,0.6455951
107,0.5974372
108,0.7437337
109,0.6183327
110,0.37291253
111,0.2687439
112,0.2902901
113,0.11092698
114,0.22527598
115,0.25229508
116,0.25393015
117,0.019124836
118,-0.078505844
119,-0.19565949
120,-0.14668374
121,-0.07025734
122,0.020678747
123,0.027175035
124,0.14081576
125,0.29370654
126,0.3572773
127,0.27955395
128,0.49814457
129,0.7450199
130,1.1852909
131,1.5068378
132,2.1789818
133,2.3292897
134,2.2914517
135,2.0909724
136,1.9442846
137,1.6569678
138,1.3475153
139,1.0143781
140,0.5536076
141,0.19528979
142,-0.121664435
143,-0.3232236
144,-0.35340518
145,-0.31401747
146,-0.4852347
147,-0.68665683
148,-0.74078876
149,-0.77081853
150,-0.74762934
151,-0.5913065
152,-0.32314533
153,0.0069437562
154,0.20783322
155,0.21818595
156,0.087520085
157,-0.289933
158,-0.676837
159,-0.9864175
160,-1.211503
161,-1.1115676
162,-1.108854
163,-1.0703176
164,-0.9177103
165,-0.59341633
166,-0.58434063
167,-0.107051566
168,0.19369076
169,0.32721832
170,0.52075475
171,0.73031056
172,0.24406303
173,-0.12044964
174,-0.48491937
175,-1.032442
176,-1.5462384
177,-1.6523309
178,-1.9121417
179,-2.2145662
180,-2.3454363
181,-2.4344037
182,-2.47604
183,-2.4901967
184,-2.36793
185,-2.4458492
186,-2.3502905
187,-2.3917792
188,-2.5262027
189,-2.6408675
190,-2.6686757
191,-2.9330628
192,-2.9381988
193,-2.8313832
194,-2.7289562
195,-2.7416677
196,-2.7474308
197,-2.9471822
198,-3.2097769
199,-3.2879686
200,-3.4019954
201,-3.2737546
202,-3.1996377
203,-3.0512938
204,-2.9664686
205,-2.9101355
206,-2.7938237
207,-2.5784483
208,-2.1679583
209,-1.8194473
210,-1.7233784
211,-1.604819
212,-1.3340751
213,-1.2283108
214,-1.3887769
215,-1.373404
216,-1.7871614
217,-2.370015
218,-2.7112887
219,-3.0509858
220,-3.2423406
221,-3.4533422
222,-3.6346748
223,-4.0705056
224,-4.354251
225,-4.873173
226,-4.922726
227,-4.8130717
228,-4.7105317
229,-4.5997524
230,-4.442128
231,-4.3981194
232,-4.560946
233,-4.475488
234,-4.376607
235,-4.257332
236,-4.1788836
237,-4.0676928
238,-4.1977954
239,-4.5774307
240,-4.7396264
241,-4.8853784
242,-5.1274385
