Frame #,Angle
0,7.72
1,7.98
2,8.196
3,8.084
4,8.362
5,8.736
6,9.004
7,9.268
8,9.8
9,10.108
10,9.872
11,9.586
12,9.672
13,9.622
14,9.696
15,9.996
16,9.59
17,9.028
18,8.152
19,7.922
20,7.478
21,7.958
22,7.772
23,7.586
24,7.132
25,7.234
26,6.812
27,6.784
28,7.232
29,7.362
30,7.336
31,7.23
32,7.17
33,7.202
34,7.406
35,7.804
36,8.54
37,8.336
38,8.616
39,9.052
40,10.059999
41,11.1
42,14.326
43,16.032
44,17.25
45,18.472
46,19.006
47,18.074
48,18.188
49,18.29
50,17.334
51,16.57
52,15.946
53,13.690001
54,11.93
55,10.41
56,9.716
57,8.768
58,10.47
59,13.208
60,16.926
61,19.618
62,22.926
63,24.546
64,25.098
65,23.72
66,21.622
67,17.594
68,14.028
69,10.406
70,8.414
71,8.48
72,10.308001
73,13.138
74,17.880001
75,21.869999
76,24.782
77,26.452
78,26.248001
79,23.012001
80,20.766
81,19.11
82,18.119999
83,18.118
84,18.084
85,17.176
86,15.966
87,15.172
88,13.624
89,13.32
90,13.9279995
91,15.458
92,16.842
93,18.174
94,20.58
95,22.25
96,23.332
97,23.772
98,24.336
99,21.69
100,18.082
101,12.924
102,9.148
103,6.3
104,6.092
105,6.486
106,10.032001
107,14.74
108,20.302
109,21.838
110,23.27
111,21.874
112,19.84
113,15.81
114,15.338
115,14.69
116,14.894
117,14.79
118,15.646
119,15.594
120,15.88
121,16.31
122,15.956
123,15.84
124,16.306
125,16.288
126,15.89
127,16.772
128,17.588001
129,17.866001
130,18.332
131,18.44
132,16.022
133,13.472
134,10.912
135,9.52
136,8.05
137,9.584
138,12.29
139,17.104
140,20.539999
141,22.998
142,22.426
143,20.488
144,17.858
145,15.642
146,14.05
147,13.572
148,12.74
149,11.024
150,9.536
151,9.894
152,9.89
153,10.264
154,11.752
155,15.208
156,18.244
157,21.958
158,26.53
159,29.504
160,29.618
161,27.251999
162,24.026
163,19.13
164,13.412
165,8.151999
166,5.1280003
167,3.6360002
168,3.486
169,4.5160003
170,8.234
171,12.35
172,12.432
173,11.862
174,11.462
175,8.798
176,5.442
177,5.036
178,5.89
179,5.826
180,6.436
181,6.9
182,7.2920003
183,6.0360003
184,7.682
185,9.15
186,11.326
187,14.152
188,17.926
189,20.706
190,23.068
191,24.192
192,25.334
193,24.288
194,21.689999
195,17.094
196,12.823999
197,8.484
198,5.56
199,5.678
200,9.4140005
201,14.398001
202,20.606
203,25.723999
204,27.814
205,26.614
206,24.546
207,21.04
208,17.924
209,14.764001
210,12.820001
211,10.834001
212,8.89
213,7.472
214,6.1540003
215,6.886
216,8.786
217,11.084
218,13.656
219,18.034
220,21.08
221,22.935999
222,24.254
223,25.17
224,23.754
225,22.008
226,19.578
227,15.202
228,11.764
229,9.658
230,8.046
231,9.636
232,15.418
233,20.58
234,24.894001
235,27.288
236,28.714
237,25.81
238,23.408
239,20.808
240,19.015999
241,16.605999
242,15.498
243,13.866
244,11.768
245,10.78
246,8.96
247,8.8359995
248,9.914
249,12.846
250,16.262
251,20.456
252,23.75
253,25.48
254,27.269999
