Frame #,Angle
0,30.58
1,28.3225
2,27.322
3,24.482
4,23.72
5,23.234
6,22.515999
7,22.052
8,21.803999
9,20.88
10,20.636
11,20.138
12,19.398
13,18.94
14,18.83
15,16.896
16,15.972
17,14.608
18,12.924
19,11.986
20,12.418
21,13.532
22,14.132
23,13.938
24,15.518
25,13.5060005
26,10.78
27,8.642
28,7.66
29,4.712
30,3.792
31,2.656
32,4.562
33,5.9719996
34,7.3199997
35,8.875999
36,11.9939995
37,12.784
38,14.096001
39,14.780001
40,18.438
41,20.73
42,24.046
43,26.346
44,28.654
45,27.723999
46,28.374
47,26.836
48,26.322
49,25.504
50,24.949999
51,23.326
52,22.86
53,21.948
54,20.66
55,18.804
56,17.014
57,15.222
58,13.658
59,13.53
60,14.814
61,13.995999
62,10.768
63,7.3199997
64,2.6279998
65,-0.774
66,-1.35
67,-1.272
68,-0.22599998
69,2.842
70,6.07
71,9.516
72,13.25
73,16.706001
74,20.742
75,21.574001
76,20.37
77,20.076
78,19.122
79,17.962
80,19.792
81,23.518
82,25.888
83,28.478
84,26.974
85,24.15
86,20.816
87,18.69
88,16.002
89,15.706
90,15.122001
91,14.63
92,13.336
93,14.764
94,16.932
95,18.878
96,17.616
97,17.234
98,14.52
99,10.624001
100,7.566
101,7.012
102,6.36
103,5.5880003
104,6.244
105,6.66
106,8.492
107,10.368
108,11.94
109,13.78
110,14.398
111,14.363999
112,14.4939995
113,16.924
114,18.302
115,20.894001
116,24.300001
117,27.77
118,28.882
119,28.226
120,26.868
121,24.312
122,20.598
123,18.012001
124,16.772
125,15.442
126,13.59
127,12.986
128,12.429999
129,12.664
130,14.339999
131,15.679999
132,14.406
133,12.096
134,8.804
135,4.084
136,0.32600003
137,0.24600002
138,0.20000002
139,0.20000002
140,2.144
141,7.264
142,10.2439995
143,12.823999
144,15.562
145,17.824
146,16.69
147,17.834
148,19.06
149,22.404
150,24.366001
151,27.804
152,29.008
153,31.804
154,31.704
155,31.462
156,29.702
157,27.956
158,24.81
159,21.764
160,19.244
161,17.708
162,17.528
163,16.76
164,16.99
165,16.192
166,16.108
167,15.036
168,14.86
169,12.886
170,11.586
171,9.238
172,6.39
173,3.816
174,2.686
175,2.138
176,0.94000006
177,1.594
178,3.9239998
179,7.1559997
180,11.072
181,15.172
182,18.22
183,18.574
184,20.716
185,19.87
186,21.82
187,22.076
188,23.772
189,24.880001
190,27.732
191,28.79
192,30.642
193,31.21
194,28.456
195,27.189999
196,23.562
197,20.162
198,17.86
199,17.524
200,16.536001
201,16.904001
202,18.768002
203,20.01
204,19.526001
205,19.99
206,21.784
207,20.476
208,17.907999
209,15.044
210,12.0199995
211,7.598
212,4.732
213,3.144
214,2.832
215,1.8225
216,0.60333335
