Frame #,Angle
0,12.996667
1,13.205
2,13.544
3,14.283999
4,14.934
5,15.366
6,15.952
7,16.344
8,16.716
9,16.766
10,16.79
11,16.548
12,16.352
13,15.738
14,15.662
15,14.8
16,14.138
17,14.033999
18,13.568
19,12.974
20,12.941999
21,13.174
22,12.823999
23,13.394
24,13.296
25,13.82
26,13.514
27,13.514
28,13.236
29,13.09
30,11.981999
31,11.745999
32,11.176
33,10.396
34,9.783999
35,10.174
36,9.82
37,9.626
38,9.348
39,9.228
40,8.992
41,9.27
42,9.14
43,9.198
44,10.01
45,10.022
46,9.516
47,10.164
48,10.412001
49,10.494
50,10.876
51,12.0
52,12.862
53,13.338
54,12.058
55,11.99
56,11.464
57,9.422
58,8.622
59,9.502
60,9.94
61,10.834
62,12.906
63,14.578
64,15.924
65,17.166
66,19.062
67,22.442
68,26.248
69,29.282
70,29.976
71,29.314
72,25.581999
73,21.105999
74,19.116
75,18.262
76,17.826
77,18.369999
78,19.644
79,18.352
80,18.36
81,18.548
82,18.338
83,17.154
84,15.842
85,14.07
86,12.01
87,10.634
88,9.4279995
89,9.714
90,10.854
91,10.714
92,10.478
93,11.217999
94,11.972
95,12.021999
96,13.698
97,16.65
98,19.33
99,21.164
100,22.268
101,23.630001
102,23.548
103,23.39
104,23.128
105,22.204
106,19.772
107,18.16
108,15.726
109,13.863999
110,13.056
111,13.43
112,12.768
113,13.224
114,13.932
115,14.832
116,15.706
117,17.674
118,19.632
119,20.380001
120,21.07
121,20.574
122,20.16
123,20.712
124,19.4
125,19.18
126,19.094
127,20.048
128,18.132
129,19.314
130,19.265999
131,20.728
132,21.536
133,23.986
134,27.008
135,31.132
136,34.154
137,35.58
138,36.386
139,35.462
140,33.552002
141,30.346
142,27.764
143,24.498
144,22.224
145,19.824
146,18.36
147,17.574001
148,18.480001
149,18.08
150,18.034
151,19.56
152,20.57
153,20.424
154,22.411999
155,22.006
156,22.276
157,21.685999
158,23.454
159,21.85
160,23.058
161,21.344
162,19.958
163,16.182
164,14.334
165,12.654
166,13.222
167,14.406
168,16.174
169,19.508
170,23.278
171,27.37
172,28.956
173,30.548
174,30.716
175,29.71
176,26.768
177,25.374
178,24.076
179,21.862
180,19.892
181,18.302
182,18.331999
183,18.518
184,18.984
185,19.768
186,22.07
187,23.078
188,22.722
189,21.512
190,19.06
191,16.438
192,13.424
193,11.108
194,10.542
195,10.242
196,10.044
197,10.808
198,12.296
199,13.59
200,16.24
201,18.96
202,21.656
203,25.48
204,29.384
205,33.478
206,35.604
207,37.616
208,37.49
209,36.89
210,33.346
211,29.988
212,26.058
213,22.134
214,16.928
215,13.448
216,10.694
217,8.056
218,7.304
219,8.594
220,10.632
221,12.334
222,15.096
223,16.646
224,18.348
225,17.99
226,18.24
227,18.514
228,17.616
229,15.686
230,14.222
231,12.65
232,10.46
233,9.22
234,7.974
235,7.596
236,8.12
237,9.122
238,11.532
239,14.51
240,18.486
241,22.844
242,26.156
243,29.316
244,31.848
245,31.458
246,27.814
247,24.99
248,20.396
249,16.214
250,13.524
251,12.482
252,10.716
253,11.16
254,10.672
255,10.758
256,10.62
257,12.146
258,13.206
259,15.006
260,16.156
261,17.636
262,17.758
263,16.892
264,16.728
265,16.236
266,15.722
267,15.328
268,15.748
269,15.608
270,17.91
271,19.872
272,25.32
273,29.844
274,35.792
275,40.174
276,45.08
277,47.566
278,48.224
279,46.232
280,45.722
281,43.292
282,40.414
283,37.843998
284,34.874
285,29.348
286,24.84
287,18.704
288,14.126
289,11.438
290,9.606
291,9.434
292,10.152
293,10.5425
294,11.006666
