Frame #,Angle
0,7.6266665
1,7.5475
2,7.282
3,6.96
4,6.592
5,6.4179997
6,6.338
7,6.69
8,7.012
9,7.754
10,7.95
11,8.268
12,8.296
13,8.414
14,8.096
15,8.254
16,7.9240003
17,7.508
18,7.154
19,6.872
20,6.43
21,6.23
22,6.388
23,6.15
24,5.9
25,6.02
26,6.24
27,6.264
28,6.836
29,7.2539997
30,7.088
31,7.362
32,7.2999997
33,7.2139997
34,6.694
35,6.534
36,5.9300003
37,5.7000003
38,5.2200003
39,5.38
40,5.4179997
41,5.3259997
42,5.396
43,5.454
44,5.412
45,5.192
46,4.954
47,4.626
48,4.134
49,3.664
50,2.948
51,2.666
52,2.048
53,1.85
54,2.184
55,2.66
56,3.356
57,4.82
58,6.0360003
59,7.578
60,9.8
61,12.304
62,13.83
63,15.271999
64,15.99
65,16.218
66,14.884
67,13.048
68,11.42
69,9.92
70,9.104
71,7.9
72,6.972
73,5.856
74,4.614
75,2.784
76,2.136
77,1.74
78,1.9779999
79,2.596
80,2.73
81,3.31
82,5.506
83,6.16
84,6.398
85,7.146
86,7.424
87,6.496
88,6.836
89,6.682
90,5.586
91,4.478
92,4.18
93,3.498
94,4.858
95,7.534
96,10.142
97,12.246
98,14.482
99,15.13
100,14.866
101,14.158
102,12.734
103,11.940001
104,10.0460005
105,7.44
106,5.4900002
107,4.296
108,2.414
109,1.7720001
110,2.1200001
111,2.33
112,2.454
113,3.084
114,3.424
115,3.938
116,5.18
117,6.196
118,6.776
119,8.102
120,9.466
121,9.488
122,9.658
123,9.6380005
124,9.022
125,8.394
126,7.054
127,5.844
128,5.208
129,5.31
130,6.502
131,9.674
132,13.02
133,15.262
134,16.818
135,17.398
136,16.926
137,15.309999
138,13.877999
139,11.538
140,8.582
141,5.746
142,3.444
143,2.0340002
144,1.776
145,1.7620001
146,1.8460001
147,2.4520001
148,2.7940001
149,2.982
150,3.716
151,5.494
152,7.02
153,8.546
154,10.224
155,11.392
156,11.394
157,10.09
158,9.582
159,7.99
160,6.322
161,5.284
162,5.994
163,5.098
164,6.006
165,8.63
166,11.094
167,12.868
168,14.942
169,15.708
170,15.662
171,13.966
172,11.116
173,8.688
174,6.49
175,3.746
176,2.214
177,2.014
178,2.392
179,2.732
180,2.9720001
181,3.53
182,3.9680002
183,4.64
184,5.426
185,6.678
186,8.11
187,9.838
188,10.864
189,11.734
190,11.478
191,10.264
192,8.802
193,7.962
194,6.344
195,5.59
196,6.116
197,6.132
198,6.712
199,8.972
200,11.466001
201,13.642
202,16.346
203,18.09
204,18.306
205,17.130001
206,15.1380005
207,12.694
208,9.574
209,7.578
210,6.0360003
211,4.46
212,4.156
213,3.618
214,2.698
215,2.044
216,2.228
217,1.46
218,1.102
219,0.98
220,1.936
221,2.858
222,4.596
223,5.6
224,6.528
225,6.712
226,6.8425
227,5.883333
