Frame #,Angle
0,26.376667
1,26.045
2,25.976
3,25.982
4,25.938
5,26.026
6,26.42
7,26.372
8,26.478
9,26.886
10,26.342
11,26.402
12,25.938
13,25.088
14,23.76
15,23.466
16,22.288
17,21.686
18,20.57
19,21.24
20,21.19
21,22.428
22,24.548
23,26.464
24,26.29
25,27.762001
26,27.716
27,27.048
28,27.124
29,27.558
30,26.303999
31,24.778
32,23.732
33,22.694
34,21.822
35,22.358
36,22.902
37,23.396
38,23.93
39,23.482
40,21.646
41,21.22
42,20.118
43,18.174
44,17.210001
45,16.872
46,15.56
47,14.714
48,15.658
49,17.832
50,19.298
51,21.998001
52,23.428
53,23.278
54,22.542
55,20.83
56,18.7
57,18.212
58,17.782
59,17.328
60,17.192
61,17.022
62,16.508
63,17.14
64,16.838
65,18.286
66,19.822
67,20.699999
68,21.067999
69,22.014
70,24.176
71,26.434
72,28.912
73,31.216
74,32.278
75,31.056
76,29.258
77,27.394
78,26.978
79,27.192
80,27.87
81,27.28
82,26.274
83,23.742
84,20.33
85,16.91
86,14.74
87,13.242001
88,13.048
89,14.836
90,15.974
91,18.662
92,21.77
93,22.422
94,21.228
95,21.092
96,19.028
97,16.446
98,15.556
99,15.92
100,16.194
101,18.04
102,19.818
103,21.646
104,23.578
105,26.02
106,28.119999
107,29.289999
108,30.654
109,32.666
110,31.316
111,29.784
112,29.732
113,29.176
114,27.712
115,29.81
116,29.098
117,28.476
118,27.572
119,26.944
120,24.556
121,24.592001
122,23.788
123,23.944
124,23.4
125,23.02
126,21.95
127,20.576
128,18.552
129,16.94
130,16.436
131,16.248
132,18.078
133,19.232
134,20.492
135,22.022
136,23.128
137,21.756
138,20.796
139,20.244
140,18.6
141,18.564001
142,19.626
143,21.136
144,21.630001
145,22.51
146,22.968
147,23.874
148,23.852
149,25.022
150,24.698
151,23.878
152,22.964
153,21.316
154,20.89
155,22.53
156,23.789999
157,25.0
158,27.182
159,28.33
160,28.685999
161,28.198
162,28.23
163,28.132
164,27.152
165,26.446
166,26.454
167,25.728
168,24.834
169,23.674
170,22.256
171,20.14
172,19.356
173,19.294
174,19.552
175,19.91
176,20.748
177,20.072
178,22.182
179,22.6
180,23.210001
181,23.602
182,22.834
183,19.772
184,17.874
185,16.12
186,15.238
187,16.308
188,17.492
189,19.374
190,22.58
191,25.968
192,27.962
193,28.63
194,29.572
195,29.477999
196,26.69
197,23.06
198,21.244
199,19.88
200,19.584
201,21.952
202,24.946
203,27.698
204,29.478
205,28.018
206,27.948
207,27.782
208,27.14
209,26.344
210,26.596
211,24.768
212,23.814001
213,22.42
214,20.346
215,19.106
216,17.48
217,15.158
218,13.702001
219,14.074
220,14.068
221,15.634
222,18.716
223,19.604
224,19.198
225,18.89
226,18.366
227,17.39
228,17.268
229,17.038
230,17.5
231,16.36
232,15.304
233,16.086
234,17.998
235,20.604
236,25.02
237,29.494001
238,32.106
239,33.218002
240,33.118
241,31.1
242,28.199999
243,26.199999
244,25.296
245,24.418
246,24.894
247,27.154
248,28.96
249,31.18
250,34.168
251,37.008
252,39.164
253,41.436
254,42.7625
255,43.27
